name,phone,type,character,loan_his,bank,amount,term,address,lat,lon,notes,time_visit,image_path,timestamp
Customer 494,0100493,Tourism/Hospitality,Talkative and Engaging,Once,ABA,9126.38,6M,"Street 43, Phnom Penh",11.565538623902814,104.8617001655099,No answer,10:00 AM,,2025-06-01 01:23:52
Customer 495,0100494,Electronics & Appliances,Talkative and Engaging,Many times,Wing,2047.28,18M,"Street 263, Phnom Penh",11.574093556247043,104.86168376630697,Need follow-up,11:00 AM,,2025-05-27 01:23:52
Customer 496,0100495,Street Food Stall,Skeptical or Distrustful,Many times,ABA,3118.56,24M,"Street 388, Phnom Penh",11.554727258514603,104.85204395194057,Need follow-up,4:00 AM,,2025-06-09 01:23:52
Customer 497,0100496,General Retail,Quiet and Reserved,Once,Wing,1424.63,24M,"Street 343, Phnom Penh",11.597429114032122,104.89442473505419,No answer,9:00 AM,2025-06-23 01.02.50.jpg,2025-05-27 01:23:52
Customer 498,0100497,Street Food Stall,Quiet and Reserved,Many times,Cambodia Post Bank,785.26,18M,"Street 139, Phnom Penh",11.53478803938308,104.90424106625,Need follow-up,1:00 AM,2025-06-23 01.03.04.jpg,2025-06-12 01:23:52
Customer 499,0100498,Repair Services,Friendly and Open,Many times,None,2456.18,24M,"Street 433, Phnom Penh",11.528925126209739,104.90418163307065,Repeat visit,12:00 AM,,2025-06-02 01:23:52
Customer 500,0100499,Repair Services,Talkative and Engaging,Never,ABA,9103.28,12M,"Street 253, Phnom Penh",11.528921622252533,104.87482374578398,Interested,6:00 AM,,2025-05-25 01:23:52
Customer 501,0100500,Fashion & Clothing,Hard to Understand,Many times,Cambodia Post Bank,1319.66,24M,"Street 407, Phnom Penh",11.59727400905379,104.88021264995902,Repeat visit,10:00 AM,,2025-06-13 01:23:52
Customer 502,0100501,Street Food Stall,Busy or in a Hurry,Once,ABA,1037.02,6M,"Street 88, Phnom Penh",11.536766988406086,104.89355258683241,Need follow-up,4:00 AM,,2025-05-24 01:23:52
Customer 503,0100502,Agriculture/Farming,Interested but Cautious,Many times,Cambodia Post Bank,784.88,24M,"Street 276, Phnom Penh",11.594477605315136,104.90444714607219,Repeat visit,4:00 AM,,2025-06-01 01:23:52
Customer 504,0100503,Beauty Salon,Aggressive or Pushy,Never,ACLEDA,9189.76,24M,"Street 201, Phnom Penh",11.547940470358396,104.91847944251286,Interested,12:00 AM,,2025-05-25 01:23:52
Customer 505,0100504,Street Food Stall,Very Welcoming,Many times,ACLEDA,5296.92,6M,"Street 22, Phnom Penh",11.584814222811397,104.86446720661888,Interested,4:00 AM,,2025-06-14 01:23:52
Customer 506,0100505,Restaurant/Café,Hard to Understand,Never,Wing,9879.7,12M,"Street 80, Phnom Penh",11.599222100973607,104.88808284393652,Repeat visit,7:00 AM,,2025-06-05 01:23:52
Customer 507,0100506,Repair Services,Skeptical or Distrustful,Once,ACLEDA,2308.6,24M,"Street 47, Phnom Penh",11.581936997610839,104.88692003335102,Interested,8:00 AM,,2025-05-24 01:23:52
Customer 508,0100507,Agriculture/Farming,Very Welcoming,Once,Cambodia Post Bank,3428.17,18M,"Street 163, Phnom Penh",11.592458202883115,104.9276514567014,Repeat visit,2:00 AM,,2025-05-25 01:23:52
Customer 509,0100508,Street Food Stall,Friendly and Open,Many times,ABA,6691.26,12M,"Street 305, Phnom Penh",11.530716275049757,104.9096546315347,No answer,1:00 AM,,2025-06-20 01:23:52
Customer 510,0100509,Repair Services,Quiet and Reserved,Never,None,3211.47,6M,"Street 42, Phnom Penh",11.592123235913489,104.85577228262956,Repeat visit,7:00 AM,,2025-06-16 01:23:52
Customer 511,0100510,Agriculture/Farming,Talkative and Engaging,Once,ABA,4352.7,6M,"Street 293, Phnom Penh",11.536969457082924,104.92434936036645,Repeat visit,12:00 AM,,2025-06-23 01:23:52
Customer 512,0100511,Repair Services,Skeptical or Distrustful,Many times,None,5304.51,18M,"Street 490, Phnom Penh",11.596373594967654,104.85232571104028,Repeat visit,2:00 AM,,2025-06-09 01:23:52
Customer 513,0100512,Beauty Salon,Hard to Understand,Many times,ABA,9492.43,6M,"Street 359, Phnom Penh",11.598777698594269,104.85755184389828,Repeat visit,7:00 AM,,2025-06-05 01:23:52
Customer 514,0100513,Agriculture/Farming,Interested but Cautious,Once,Cambodia Post Bank,7988.49,12M,"Street 326, Phnom Penh",11.59996549793376,104.85843740920639,Need follow-up,10:00 AM,2025-06-23 01.02.19.jpg,2025-06-04 01:23:52
Customer 515,0100514,Electronics & Appliances,Very Welcoming,Many times,ABA,5710.09,12M,"Street 362, Phnom Penh",11.576127064813498,104.90269711510217,Interested,8:00 AM,,2025-05-27 01:23:52
Customer 516,0100515,Fashion & Clothing,Busy or in a Hurry,Many times,Cambodia Post Bank,9718.09,6M,"Street 23, Phnom Penh",11.57614575478551,104.87308547371588,Need follow-up,8:00 AM,2025-06-23 01.02.34.jpg,2025-05-25 01:23:52
Customer 517,0100516,Electronics & Appliances,Friendly and Open,Once,Cambodia Post Bank,5020.23,18M,"Street 362, Phnom Penh",11.584064456108061,104.86745512013555,No answer,6:00 AM,,2025-05-29 01:23:52
Customer 518,0100517,Repair Services,Hard to Understand,Never,Cambodia Post Bank,4441.53,24M,"Street 291, Phnom Penh",11.590824453704505,104.92970846214463,Repeat visit,11:00 AM,2025-06-23 01.03.04.jpg,2025-06-02 01:23:52
Customer 519,0100518,Street Food Stall,Interested but Cautious,Once,ACLEDA,8485.25,18M,"Street 138, Phnom Penh",11.557910935061061,104.94042746304189,No answer,2:00 AM,,2025-06-09 01:23:52
Customer 520,0100519,Street Food Stall,Quiet and Reserved,Never,ACLEDA,6946.45,12M,"Street 343, Phnom Penh",11.564971546658082,104.91510053922092,Need follow-up,5:00 AM,2025-06-23 01.01.50.jpg,2025-06-02 01:23:52
Customer 521,0100520,Fashion & Clothing,Uninterested,Once,ACLEDA,4679.45,24M,"Street 461, Phnom Penh",11.582205238392158,104.94932378302288,Interested,10:00 AM,,2025-05-25 01:23:52
Customer 522,0100521,Beauty Salon,Hard to Understand,Never,ACLEDA,8124.99,6M,"Street 252, Phnom Penh",11.526329794418835,104.93291494421904,Interested,12:00 AM,,2025-06-09 01:23:52
Customer 523,0100522,Beauty Salon,Talkative and Engaging,Never,Wing,6147.75,12M,"Street 348, Phnom Penh",11.58806703301631,104.86879507152416,Interested,3:00 AM,2025-06-23 01.02.19.jpg,2025-05-27 01:23:52
Customer 524,0100523,Beauty Salon,Interested but Cautious,Never,Cambodia Post Bank,7275.29,24M,"Street 350, Phnom Penh",11.55038483263424,104.94198543298349,Need follow-up,5:00 AM,,2025-06-01 01:23:52
Customer 525,0100524,Tourism/Hospitality,Skeptical or Distrustful,Many times,ACLEDA,7229.27,12M,"Street 116, Phnom Penh",11.541524565923426,104.91794330983862,No answer,6:00 AM,,2025-06-21 01:23:52
Customer 526,0100525,Fashion & Clothing,Aggressive or Pushy,Once,Wing,9801.65,24M,"Street 350, Phnom Penh",11.580113017967292,104.85283291248429,No answer,10:00 AM,,2025-06-01 01:23:52
Customer 527,0100526,Tourism/Hospitality,Busy or in a Hurry,Once,ABA,4583.53,24M,"Street 380, Phnom Penh",11.55722020851949,104.86471285425709,Need follow-up,6:00 AM,2025-06-23 01.03.04.jpg,2025-06-05 01:23:52
Customer 528,0100527,Fashion & Clothing,Quiet and Reserved,Never,ACLEDA,4525.33,6M,"Street 320, Phnom Penh",11.58802970310499,104.90152541619156,Interested,9:00 AM,,2025-06-20 01:23:52
Customer 529,0100528,Fashion & Clothing,Quiet and Reserved,Once,ABA,1234.73,6M,"Street 63, Phnom Penh",11.573237426171383,104.88837030219278,No answer,11:00 AM,,2025-05-31 01:23:52
Customer 530,0100529,Tourism/Hospitality,Friendly and Open,Many times,None,7280.6,6M,"Street 318, Phnom Penh",11.597858606780047,104.88653522843182,Interested,12:00 AM,,2025-06-18 01:23:52
Customer 531,0100530,Repair Services,Very Welcoming,Once,Cambodia Post Bank,4117.25,24M,"Street 485, Phnom Penh",11.565009471715872,104.8753063526319,Interested,6:00 AM,,2025-06-11 01:23:52
Customer 532,0100531,Street Food Stall,Hard to Understand,Once,ACLEDA,5775.76,6M,"Street 206, Phnom Penh",11.57586596554603,104.89391986300438,Interested,4:00 AM,2025-06-23 01.03.53.jpg,2025-06-22 01:23:52
Customer 533,0100532,Street Food Stall,Uninterested,Many times,Cambodia Post Bank,9174.54,6M,"Street 421, Phnom Penh",11.585660280716455,104.88848217205417,Repeat visit,5:00 AM,,2025-06-12 01:23:52
Customer 534,0100533,Agriculture/Farming,Hard to Understand,Many times,Cambodia Post Bank,2623.36,12M,"Street 31, Phnom Penh",11.537209614162938,104.89925596210448,Need follow-up,2:00 AM,2025-06-23 01.03.10.jpg,2025-05-28 01:23:52
Customer 535,0100534,Agriculture/Farming,Very Welcoming,Once,ABA,8796.61,18M,"Street 103, Phnom Penh",11.56386791361271,104.93690494632578,Need follow-up,4:00 AM,,2025-06-01 01:23:52
Customer 536,0100535,Restaurant/Café,Friendly and Open,Never,Cambodia Post Bank,6481.01,18M,"Street 49, Phnom Penh",11.538609391755443,104.92455359598998,No answer,3:00 AM,,2025-05-26 01:23:52
Customer 537,0100536,Beauty Salon,Very Welcoming,Never,ACLEDA,3082.12,18M,"Street 225, Phnom Penh",11.52046006577574,104.93623748235318,Repeat visit,2:00 AM,2025-06-23 01.02.46.jpg,2025-06-04 01:23:52
Customer 538,0100537,Agriculture/Farming,Hard to Understand,Never,ABA,7294.63,6M,"Street 304, Phnom Penh",11.5350872551255,104.92317024400207,Need follow-up,9:00 AM,,2025-06-16 01:23:52
Customer 539,0100538,Restaurant/Café,Quiet and Reserved,Once,None,7333.8,12M,"Street 72, Phnom Penh",11.523917422669435,104.89128815507354,Repeat visit,11:00 AM,,2025-06-21 01:23:52
Customer 540,0100539,Agriculture/Farming,Uninterested,Once,Wing,3193.75,12M,"Street 251, Phnom Penh",11.562584642970371,104.91661349799668,Interested,9:00 AM,20250615_213943.jpeg,2025-06-18 01:23:52
Customer 541,0100540,Fashion & Clothing,Very Welcoming,Once,ACLEDA,4118.15,12M,"Street 476, Phnom Penh",11.581502184639113,104.93056919654289,Interested,9:00 AM,,2025-06-01 01:23:52
Customer 542,0100541,Beauty Salon,Skeptical or Distrustful,Never,None,4044.7,6M,"Street 471, Phnom Penh",11.589482695747051,104.90722151735727,Interested,7:00 AM,,2025-06-09 01:23:52
Customer 543,0100542,Beauty Salon,Skeptical or Distrustful,Many times,ABA,791.34,6M,"Street 312, Phnom Penh",11.56082646998485,104.92086967162639,Need follow-up,3:00 AM,2025-06-23 01.02.27.jpg,2025-06-22 01:23:52
Customer 544,0100543,Beauty Salon,Quiet and Reserved,Never,ACLEDA,6920.56,12M,"Street 270, Phnom Penh",11.551858826694454,104.88178895448388,Interested,11:00 AM,,2025-06-22 01:23:52
Customer 545,0100544,Agriculture/Farming,Talkative and Engaging,Never,Cambodia Post Bank,5162.81,12M,"Street 464, Phnom Penh",11.594197712971619,104.86385200993452,No answer,3:00 AM,,2025-06-04 01:23:52
Customer 546,0100545,Electronics & Appliances,Uninterested,Many times,ACLEDA,7285.99,24M,"Street 217, Phnom Penh",11.585838947685511,104.94484403699695,Repeat visit,2:00 AM,,2025-05-26 01:23:52
Customer 547,0100546,Fashion & Clothing,Friendly and Open,Never,ACLEDA,7427.95,6M,"Street 242, Phnom Penh",11.558296304350753,104.87905469974618,Need follow-up,7:00 AM,,2025-06-23 01:23:52
Customer 548,0100547,Restaurant/Café,Very Welcoming,Once,Wing,4390.29,12M,"Street 237, Phnom Penh",11.548146099153659,104.91474123781398,No answer,11:00 AM,,2025-06-08 01:23:52
Customer 549,0100548,Restaurant/Café,Hard to Understand,Never,Wing,4183.23,24M,"Street 375, Phnom Penh",11.545828939862037,104.94950444122559,Interested,12:00 AM,2025-06-23 01.04.26.jpg,2025-06-17 01:23:52
Customer 550,0100549,Street Food Stall,Friendly and Open,Once,Wing,3435.17,12M,"Street 334, Phnom Penh",11.573978512858092,104.94360991761924,Interested,4:00 AM,,2025-05-26 01:23:52
Customer 551,0100550,Beauty Salon,Uninterested,Many times,None,5625.48,12M,"Street 217, Phnom Penh",11.567390640592478,104.89441851260018,Need follow-up,4:00 AM,,2025-06-16 01:23:52
Customer 552,0100551,Agriculture/Farming,Talkative and Engaging,Many times,Cambodia Post Bank,4572.98,12M,"Street 304, Phnom Penh",11.579927983958541,104.88397468839142,Interested,12:00 AM,2025-06-23 01.02.39.jpg,2025-06-17 01:23:52
Customer 553,0100552,Electronics & Appliances,Skeptical or Distrustful,Never,ACLEDA,2603.12,18M,"Street 414, Phnom Penh",11.532013385497088,104.92022859103345,Interested,1:00 AM,,2025-05-30 01:23:52
Customer 554,0100553,Fashion & Clothing,Quiet and Reserved,Once,ABA,8434.75,18M,"Street 453, Phnom Penh",11.531122052917755,104.89253077795144,Repeat visit,11:00 AM,,2025-05-28 01:23:52
Customer 555,0100554,Repair Services,Friendly and Open,Many times,ABA,9230.43,24M,"Street 14, Phnom Penh",11.531881064915098,104.93983319782741,Interested,4:00 AM,,2025-06-23 01:23:52
Customer 556,0100555,Tourism/Hospitality,Very Welcoming,Many times,ABA,9050.53,6M,"Street 195, Phnom Penh",11.542299125128658,104.9318528037817,Interested,3:00 AM,,2025-05-26 01:23:52
Customer 557,0100556,Agriculture/Farming,Very Welcoming,Never,None,1786.61,12M,"Street 405, Phnom Penh",11.586166195611645,104.86583597143611,No answer,9:00 AM,,2025-06-09 01:23:52
Customer 558,0100557,Beauty Salon,Friendly and Open,Many times,Cambodia Post Bank,647.8,24M,"Street 345, Phnom Penh",11.535378124180173,104.8909616640458,Repeat visit,1:00 AM,,2025-05-25 01:23:52
Customer 559,0100558,Street Food Stall,Quiet and Reserved,Never,Cambodia Post Bank,4993.45,12M,"Street 241, Phnom Penh",11.5653728176089,104.85990206377686,No answer,9:00 AM,,2025-06-03 01:23:52
Customer 560,0100559,Street Food Stall,Quiet and Reserved,Many times,Cambodia Post Bank,4726.14,18M,"Street 263, Phnom Penh",11.531231184478404,104.89509870073394,No answer,11:00 AM,,2025-06-08 01:23:52
Customer 561,0100560,Tourism/Hospitality,Busy or in a Hurry,Many times,Wing,7326.94,6M,"Street 347, Phnom Penh",11.598698584577754,104.8936125228233,Need follow-up,2:00 AM,2025-06-23 01.03.10.jpg,2025-06-15 01:23:52
Customer 562,0100561,Fashion & Clothing,Talkative and Engaging,Never,Wing,1520.06,24M,"Street 472, Phnom Penh",11.540273137012104,104.88286678763134,Repeat visit,10:00 AM,,2025-05-31 01:23:52
Customer 563,0100562,General Retail,Uninterested,Never,None,6896.49,6M,"Street 401, Phnom Penh",11.583189070903112,104.90273043481302,Repeat visit,12:00 AM,2025-06-23 01.04.08.jpg,2025-06-09 01:23:52
Customer 564,0100563,Agriculture/Farming,Very Welcoming,Many times,None,4405.84,6M,"Street 56, Phnom Penh",11.579719857395778,104.92913748273568,No answer,7:00 AM,,2025-05-24 01:23:52
Customer 565,0100564,Electronics & Appliances,Friendly and Open,Many times,ACLEDA,2229.69,18M,"Street 184, Phnom Penh",11.593022407505654,104.90212241633436,Need follow-up,9:00 AM,,2025-06-05 01:23:52
Customer 566,0100565,General Retail,Uninterested,Once,Wing,5621.02,6M,"Street 41, Phnom Penh",11.527638130894458,104.94685930961903,No answer,12:00 AM,,2025-06-01 01:23:52
Customer 567,0100566,Street Food Stall,Friendly and Open,Once,Cambodia Post Bank,7702.05,24M,"Street 70, Phnom Penh",11.569705439876223,104.92973961658642,Interested,5:00 AM,,2025-06-22 01:23:52
Customer 568,0100567,Street Food Stall,Interested but Cautious,Many times,ABA,603.97,6M,"Street 152, Phnom Penh",11.571601395753342,104.91566625554394,No answer,7:00 AM,,2025-06-17 01:23:52
Customer 569,0100568,General Retail,Hard to Understand,Never,Wing,1762.72,24M,"Street 190, Phnom Penh",11.583682933479283,104.8952911251665,No answer,7:00 AM,,2025-06-03 01:23:52
Customer 570,0100569,General Retail,Uninterested,Many times,Wing,1275.67,12M,"Street 31, Phnom Penh",11.54583003134834,104.94841899118866,Need follow-up,8:00 AM,,2025-06-04 01:23:52
Customer 571,0100570,Street Food Stall,Talkative and Engaging,Many times,ABA,699.47,12M,"Street 157, Phnom Penh",11.543280649792255,104.87616668033975,No answer,9:00 AM,,2025-06-17 01:23:52
Customer 572,0100571,Restaurant/Café,Friendly and Open,Never,None,7896.69,24M,"Street 3, Phnom Penh",11.574412365554243,104.85167914332565,Repeat visit,2:00 AM,,2025-06-23 01:23:52
Customer 573,0100572,Agriculture/Farming,Talkative and Engaging,Once,Cambodia Post Bank,8229.55,6M,"Street 36, Phnom Penh",11.548708773828743,104.852707818557,Interested,10:00 AM,,2025-05-27 01:23:52
Customer 574,0100573,Repair Services,Friendly and Open,Never,ACLEDA,8440.12,12M,"Street 218, Phnom Penh",11.561726198470932,104.90307444918426,Repeat visit,12:00 AM,,2025-06-09 01:23:52
Customer 575,0100574,General Retail,Busy or in a Hurry,Many times,Wing,7959.61,12M,"Street 391, Phnom Penh",11.578501580869583,104.91769892707224,No answer,11:00 AM,,2025-06-03 01:23:52
Customer 576,0100575,General Retail,Aggressive or Pushy,Many times,None,6629.95,6M,"Street 429, Phnom Penh",11.520302986177901,104.89109818122333,Interested,12:00 AM,,2025-06-07 01:23:52
Customer 577,0100576,Repair Services,Talkative and Engaging,Never,ABA,1315.36,18M,"Street 410, Phnom Penh",11.525649008423168,104.87387918916487,Need follow-up,2:00 AM,,2025-05-27 01:23:52
Customer 578,0100577,Street Food Stall,Uninterested,Many times,Cambodia Post Bank,1507.07,6M,"Street 477, Phnom Penh",11.599624264362841,104.86773846513883,Repeat visit,11:00 AM,,2025-06-10 01:23:52
Customer 579,0100578,General Retail,Skeptical or Distrustful,Once,Cambodia Post Bank,5101.32,24M,"Street 165, Phnom Penh",11.585590652191092,104.8653931370044,Repeat visit,9:00 AM,,2025-06-20 01:23:52
Customer 580,0100579,Tourism/Hospitality,Hard to Understand,Many times,Cambodia Post Bank,1913.58,12M,"Street 173, Phnom Penh",11.536896037487727,104.89386709504747,Repeat visit,6:00 AM,,2025-06-21 01:23:52
Customer 581,0100580,General Retail,Quiet and Reserved,Many times,ACLEDA,1995.82,6M,"Street 155, Phnom Penh",11.526651906757252,104.92241561305687,Interested,11:00 AM,2025-06-23 01.01.50.jpg,2025-06-15 01:23:52
Customer 582,0100581,Agriculture/Farming,Very Welcoming,Many times,None,3411.88,18M,"Street 224, Phnom Penh",11.567881253550965,104.90115463733173,Need follow-up,1:00 AM,2025-06-23 01.03.53.jpg,2025-05-24 01:23:52
Customer 583,0100582,Tourism/Hospitality,Quiet and Reserved,Many times,ABA,9877.68,12M,"Street 360, Phnom Penh",11.549968594255965,104.8683907913837,Need follow-up,11:00 AM,,2025-06-04 01:23:52
Customer 584,0100583,Tourism/Hospitality,Quiet and Reserved,Once,ABA,2852.48,6M,"Street 230, Phnom Penh",11.56721026788898,104.86746661785877,No answer,8:00 AM,,2025-06-03 01:23:52
Customer 585,0100584,General Retail,Interested but Cautious,Never,None,1047.27,18M,"Street 11, Phnom Penh",11.521777979223616,104.93162061569988,Need follow-up,11:00 AM,,2025-06-10 01:23:52
Customer 586,0100585,Agriculture/Farming,Interested but Cautious,Once,ABA,5412.1,24M,"Street 425, Phnom Penh",11.599484077643153,104.89248094667668,Interested,11:00 AM,,2025-05-25 01:23:52
Customer 587,0100586,General Retail,Aggressive or Pushy,Once,ABA,3731.93,24M,"Street 130, Phnom Penh",11.551661470767785,104.8540328676135,Interested,12:00 AM,20250615_214300.jpeg,2025-05-29 01:23:52
Customer 588,0100587,Electronics & Appliances,Interested but Cautious,Once,ABA,8788.31,6M,"Street 64, Phnom Penh",11.553019585118959,104.86503227903476,Repeat visit,5:00 AM,,2025-06-05 01:23:52
Customer 589,0100588,Street Food Stall,Quiet and Reserved,Once,ACLEDA,4410.13,18M,"Street 443, Phnom Penh",11.533274939070454,104.90193739687408,Interested,6:00 AM,,2025-06-20 01:23:52
Customer 590,0100589,Beauty Salon,Quiet and Reserved,Once,None,4660.74,18M,"Street 302, Phnom Penh",11.575600834941067,104.87514731125378,Interested,1:00 AM,2025-06-23 01.02.19.jpg,2025-06-22 01:23:52
Customer 591,0100590,Fashion & Clothing,Uninterested,Many times,None,9532.62,6M,"Street 92, Phnom Penh",11.579133365111321,104.87073165643005,Need follow-up,12:00 AM,,2025-06-08 01:23:52
Customer 592,0100591,Beauty Salon,Interested but Cautious,Once,ACLEDA,6524.43,18M,"Street 50, Phnom Penh",11.543644459466023,104.86986491938748,No answer,8:00 AM,2025-06-23 01.05.23.jpg,2025-05-29 01:23:52
Customer 593,0100592,Agriculture/Farming,Busy or in a Hurry,Many times,Wing,5413.02,6M,"Street 410, Phnom Penh",11.590907825296588,104.86586156874074,No answer,11:00 AM,,2025-05-24 01:23:52
Customer 594,0100593,Street Food Stall,Aggressive or Pushy,Once,ABA,6673.86,12M,"Street 222, Phnom Penh",11.571275281753694,104.93019591190016,Repeat visit,12:00 AM,2025-06-23 01.02.46.jpg,2025-06-05 01:23:52
Customer 595,0100594,Electronics & Appliances,Friendly and Open,Never,None,6644.13,18M,"Street 206, Phnom Penh",11.541843412185967,104.93309060450436,Repeat visit,3:00 AM,,2025-06-08 01:23:52
Customer 596,0100595,Agriculture/Farming,Uninterested,Once,Wing,1408.45,6M,"Street 296, Phnom Penh",11.547171119711495,104.86157766708901,Need follow-up,1:00 AM,,2025-05-29 01:23:52
Customer 597,0100596,Fashion & Clothing,Busy or in a Hurry,Never,ABA,2529.69,12M,"Street 400, Phnom Penh",11.587229920918231,104.93222203165095,Repeat visit,10:00 AM,,2025-06-15 01:23:52
Customer 598,0100597,Beauty Salon,Hard to Understand,Never,Wing,1493.38,6M,"Street 454, Phnom Penh",11.563498312877803,104.86620317031462,Repeat visit,6:00 AM,,2025-06-04 01:23:52
Customer 599,0100598,Beauty Salon,Skeptical or Distrustful,Never,ABA,9026.74,24M,"Street 375, Phnom Penh",11.58609797087879,104.87303320468457,Need follow-up,5:00 AM,,2025-06-07 01:23:52
Customer 600,0100599,Restaurant/Café,Talkative and Engaging,Once,ACLEDA,5784.73,6M,"Street 487, Phnom Penh",11.539883758576043,104.87595816968869,No answer,7:00 AM,,2025-06-17 01:23:52
Customer 601,0100600,Repair Services,Skeptical or Distrustful,Never,Cambodia Post Bank,9883.59,24M,"Street 447, Phnom Penh",11.576130174095978,104.90171049432682,Interested,3:00 AM,,2025-06-14 01:23:52
Customer 602,0100601,Street Food Stall,Hard to Understand,Once,ACLEDA,9799.95,24M,"Street 375, Phnom Penh",11.550692304365654,104.87177480947764,Need follow-up,4:00 AM,,2025-06-06 01:23:52
Customer 603,0100602,Repair Services,Aggressive or Pushy,Once,ACLEDA,8313.37,18M,"Street 45, Phnom Penh",11.545425668927415,104.9421443048456,Need follow-up,1:00 AM,,2025-06-22 01:23:52
Customer 604,0100603,Tourism/Hospitality,Friendly and Open,Many times,Cambodia Post Bank,9003.46,24M,"Street 482, Phnom Penh",11.539942282068184,104.85231574125366,No answer,11:00 AM,20250615_213943.jpeg,2025-05-25 01:23:52
Customer 605,0100604,Electronics & Appliances,Quiet and Reserved,Never,ABA,9141.38,6M,"Street 465, Phnom Penh",11.561235474154602,104.85337812812307,Need follow-up,4:00 AM,,2025-06-04 01:23:52
Customer 606,0100605,Street Food Stall,Interested but Cautious,Many times,None,4864.49,6M,"Street 32, Phnom Penh",11.53752118453292,104.86221546486505,Repeat visit,5:00 AM,,2025-06-07 01:23:52
Customer 607,0100606,Fashion & Clothing,Busy or in a Hurry,Never,Cambodia Post Bank,2713.49,12M,"Street 370, Phnom Penh",11.580916143669041,104.94693768169165,Repeat visit,2:00 AM,,2025-05-26 01:23:52
Customer 608,0100607,Street Food Stall,Skeptical or Distrustful,Once,Cambodia Post Bank,8206.97,6M,"Street 270, Phnom Penh",11.573255344045233,104.91886968540169,Need follow-up,4:00 AM,,2025-06-14 01:23:52
Customer 609,0100608,Street Food Stall,Uninterested,Never,Wing,1049.62,18M,"Street 454, Phnom Penh",11.544119680897142,104.92573015543259,No answer,3:00 AM,,2025-06-18 01:23:52
Customer 610,0100609,Beauty Salon,Uninterested,Many times,None,4937.95,12M,"Street 236, Phnom Penh",11.581791471796928,104.87988563896907,Repeat visit,1:00 AM,2025-06-23 01.02.34.jpg,2025-05-27 01:23:52
Customer 611,0100610,Tourism/Hospitality,Busy or in a Hurry,Once,ACLEDA,3778.49,18M,"Street 479, Phnom Penh",11.551677627976181,104.85673505388777,Repeat visit,9:00 AM,,2025-06-13 01:23:52
Customer 612,0100611,Electronics & Appliances,Uninterested,Many times,ACLEDA,4523.94,24M,"Street 495, Phnom Penh",11.595662413340346,104.8718063795501,Interested,6:00 AM,,2025-06-14 01:23:52
Customer 613,0100612,General Retail,Friendly and Open,Once,Cambodia Post Bank,6780.79,24M,"Street 101, Phnom Penh",11.57997448530468,104.88427558757374,Interested,12:00 AM,,2025-05-26 01:23:52
Customer 614,0100613,Tourism/Hospitality,Skeptical or Distrustful,Never,Cambodia Post Bank,1289.37,12M,"Street 230, Phnom Penh",11.571290967685075,104.92947274472047,Interested,10:00 AM,,2025-06-23 01:23:52
Customer 615,0100614,Beauty Salon,Friendly and Open,Once,ABA,2197.33,6M,"Street 376, Phnom Penh",11.53946877602826,104.86600249136384,Repeat visit,6:00 AM,,2025-05-25 01:23:52
Customer 616,0100615,General Retail,Very Welcoming,Once,None,5903.82,24M,"Street 97, Phnom Penh",11.5936745970475,104.85150631086348,Need follow-up,9:00 AM,,2025-06-12 01:23:52
Customer 617,0100616,Electronics & Appliances,Quiet and Reserved,Once,ACLEDA,9088.08,6M,"Street 200, Phnom Penh",11.559319757345175,104.87577320411754,No answer,8:00 AM,,2025-06-23 01:23:52
Customer 618,0100617,Beauty Salon,Quiet and Reserved,Never,ABA,3557.56,24M,"Street 169, Phnom Penh",11.587523088973704,104.86045028221936,No answer,9:00 AM,,2025-06-18 01:23:52
Customer 619,0100618,Electronics & Appliances,Uninterested,Never,Wing,1119.15,24M,"Street 317, Phnom Penh",11.556969605409293,104.91326173238014,Need follow-up,12:00 AM,,2025-06-16 01:23:52
Customer 620,0100619,General Retail,Quiet and Reserved,Many times,Cambodia Post Bank,6185.76,18M,"Street 190, Phnom Penh",11.574600597574392,104.88444179903718,Need follow-up,8:00 AM,,2025-06-14 01:23:52
Customer 621,0100620,Street Food Stall,Interested but Cautious,Never,None,1192.43,24M,"Street 166, Phnom Penh",11.549382882359206,104.86130773134579,Need follow-up,6:00 AM,2025-06-23 01.04.26.jpg,2025-05-26 01:23:52
Customer 622,0100621,Beauty Salon,Skeptical or Distrustful,Never,ABA,8961.2,12M,"Street 238, Phnom Penh",11.549947573417272,104.89525617337384,No answer,10:00 AM,20250615_214300.jpeg,2025-06-12 01:23:52
Customer 623,0100622,Restaurant/Café,Friendly and Open,Never,Wing,8389.0,24M,"Street 61, Phnom Penh",11.540635853636722,104.93271658113264,Need follow-up,8:00 AM,,2025-06-12 01:23:52
Customer 624,0100623,Beauty Salon,Interested but Cautious,Never,Cambodia Post Bank,1077.35,24M,"Street 445, Phnom Penh",11.571615804190843,104.85259144613214,No answer,10:00 AM,,2025-05-25 01:23:52
Customer 625,0100624,Repair Services,Uninterested,Never,ACLEDA,4151.0,18M,"Street 310, Phnom Penh",11.52710190564809,104.86313480508645,Need follow-up,6:00 AM,,2025-06-06 01:23:52
Customer 626,0100625,Agriculture/Farming,Busy or in a Hurry,Never,ACLEDA,6106.44,6M,"Street 29, Phnom Penh",11.548383709677791,104.85044098850904,No answer,6:00 AM,,2025-06-07 01:23:52
